questionnaire_id,global_id,empty,valid,recognized,review,verified,1_review,1_1,1_2,2_review,2_1,2_2,3_review,3_1,3_2,4_review,4_1,4_2,5_review,5_1,5_2,5_3,5_4,5_5
None,None,0,1,1,,1,,0,1,,0,1,,1,0,,0,1,,0,0,0,0,1
None,None,0,1,1,,1,,1,0,,0,1,,0,1,,1,0,,1,0,0,0,0
None,None,0,1,1,,1,,1,0,,0,1,,0,1,,1,0,,1,0,0,0,0
None,None,0,1,1,,1,,1,0,,0,1,,0,1,,1,0,,1,0,0,0,0
None,None,0,1,1,,1,,1,0,,0,1,,0,1,,1,0,,1,0,0,0,0
None,None,0,1,1,,1,,1,0,,0,1,,0,1,,1,0,,1,0,0,0,0
None,None,0,1,1,,1,,1,0,,0,1,,0,1,,0,1,,1,0,0,0,0
None,None,0,1,1,,1,,1,0,,0,1,,0,1,,0,1,,1,0,0,0,0
None,None,0,1,1,,1,,1,0,,0,1,,0,1,,0,1,,1,0,0,0,0
None,None,0,1,1,,1,,1,0,,0,1,,0,1,,1,0,,1,0,0,0,0
None,None,0,1,1,,1,,1,0,,0,1,,0,1,,1,0,,1,0,0,0,0
None,None,0,1,1,,1,,1,0,,0,1,,0,1,,1,0,,1,0,0,0,0
None,None,0,1,1,,1,,1,0,,0,1,,0,1,,1,0,,1,0,0,0,0
None,None,0,1,1,,1,,0,1,,0,1,,1,0,,0,1,,0,0,0,0,1
None,None,0,1,1,,1,,0,1,,0,1,,1,0,,0,1,,0,0,0,0,1
None,None,0,1,1,,1,,1,0,,0,1,,1,0,,0,1,,0,1,0,0,0
None,None,0,1,1,,1,,1,0,,0,1,,1,0,,0,1,,0,1,0,0,0
None,None,0,1,1,,1,,1,0,,0,1,,1,0,,0,1,,0,1,0,0,0
None,None,0,1,1,,1,,1,0,,0,1,,1,0,,0,1,,0,1,0,0,0
